year,type,country,activity,sex,age,species,fatal_y_n
2020.0,Unprovoked,NEW ZEALAND,Surfing,F,13,Other Category,N
2017.0,Unprovoked,AUSTRALIA,Surfing,M,31,Other Named Sharks,N
2016.0,Unprovoked,USA,Swimming,F,52,Other Category,N
2014.0,Unprovoked,AUSTRALIA,Swimming,F,63,Large Predatory Sharks,Y
2013.0,Provoked,USA,Surfing,M,43,Small Sharks (Size-Based),N
2011.0,Unprovoked,BRAZIL,Surfing,M,35,Other Category,N
2011.0,Unprovoked,USA,Surfing,M,37,Other Category,N
2011.0,Unprovoked,SOUTH AFRICA,Surfing,M,16,Other Category,Y
2010.0,Provoked,USA,Fishing,M,20,Large Predatory Sharks,N
2009.0,Unprovoked,USA,Surfing,M,54,Large Sharks (Size-Based),N
2009.0,Unprovoked,USA,Swimming,F,19,Other Category,N
2009.0,Unprovoked,USA,Swimming,M,61,Other Category,N
2008.0,Provoked,AUSTRALIA,Fishing,M,50,Other Category,N
2008.0,Unprovoked,USA,Surfing,M,40,Small Sharks (Size-Based),N
2007.0,Unprovoked,USA,Surfing,M,27,Small Sharks (Size-Based),N
2005.0,Unprovoked,USA,Surfing,M,37,Large Predatory Sharks,N
2005.0,Unprovoked,AUSTRALIA,Spearfishing,M,20,Large Sharks (Size-Based),N
2004.0,Unprovoked,AUSTRALIA,Spearfishing,M,30,Other Category,N
2004.0,Unprovoked,USA,Surfing,M,20,Large Predatory Sharks,N
2003.0,Unprovoked,USA,Surfing,M,12,Other Category,N
2001.0,Unprovoked,USA,Surfing,M,19,Small Sharks (Size-Based),N
2000.0,Unprovoked,USA,Surfing,M,37,Large Sharks (Size-Based),N
1999.0,Unprovoked,SOUTH AFRICA,Surfing,M,35,Large Predatory Sharks,N
1999.0,Unprovoked,SOUTH AFRICA,Surfing,M,42,Large Predatory Sharks,N
1998.0,Unprovoked,USA,Surfing,M,32,Large Predatory Sharks,N
1998.0,Unprovoked,SOUTH AFRICA,Surfing,M,17,Other Category,N
1998.0,Unprovoked,USA,Swimming,M,40,Other Category,N
1997.0,Unprovoked,USA,Surfing,M,20,Other Category,N
1996.0,Unprovoked,USA,Surfing,M,22,Large Predatory Sharks,N
1994.0,Unprovoked,BRAZIL,Surfing,M,15,Other Category,N
1992.0,Unprovoked,AUSTRALIA,Surfing,M,28,Large Predatory Sharks,Y
1992.0,Unprovoked,AUSTRALIA,Surfing,M,17,Large Predatory Sharks,N
1990.0,Unprovoked,AUSTRALIA,Surfing,M,31,Large Predatory Sharks,N
1989.0,Unprovoked,BAHAMAS,Spearfishing,F,31,Other Category,N
1986.0,Unprovoked,SOUTH AFRICA,Spearfishing,M,26,Large Sharks (Size-Based),N
1986.0,Unprovoked,SOUTH AFRICA,Spearfishing,M,29,Other Named Sharks,N
1985.0,Unprovoked,SOUTH AFRICA,Spearfishing,M,34,Large Predatory Sharks,N
1983.0,Unprovoked,USA,Surfing,M,15,Large Predatory Sharks,N
